t,apa_mm,amox_mm,aoh_mm,ester_mm,apa_dot,amox_dot,aoh_dot,ester_dot
52.0,97.46013036162203,2.538342683211896,2.8675094258861407,34.595528494556085,-0.05204879284108888,0.049028191938872895,0.024122725878887807,-0.0818802448438676
54.0,97.35597259137367,2.6364100092403526,2.915458286992794,34.433166695929216,-0.05210580205381697,0.04903642657156035,0.023826645944425663,-0.0804861049192879
56.0,97.2517197282655,2.734477669550105,2.9628180503212747,34.273565947065954,-0.052143948978434274,0.04902858128219919,0.02353362699611073,-0.07911915671417641
58.0,97.14740911720858,2.8325138346692365,3.009594831216253,34.116672094723924,-0.05216361328009992,0.04900498644296867,0.02324366240631913,-0.07777917003195536
60.0,97.04307734378364,2.9304873358701866,3.0557947317671506,33.96243144605393,-0.05216517462397303,0.04896597242604805,0.022956745547426965,-0.07646591467604698
62.0,96.9387602342411,3.0283676651697546,3.1014238408081445,33.81079076859991,-0.05214901267521273,0.04891186960361659,0.022672869791810348,-0.0751791604498735
64.0,96.8344928555011,3.1261249753290987,3.14648823391816,33.66169729029899,-0.05211550709897815,0.04884300834785355,0.022392028511845397,-0.07391867715685715
66.0,96.73030951515341,3.223730079853734,3.190993973420878,33.51509869948143,-0.05206503756042842,0.048759719030938196,0.02211421507990822,-0.07268423460042017
68.0,96.62624376145749,3.321154452993536,3.2349471083847288,33.370943144870644,-0.05199798372472267,0.048662332025049784,0.02183942286837493,-0.07147560258398478
70.0,96.52232838334251,3.418370229742737,3.278353674622897,33.2291792355832,-0.05191472525702,0.048551177702367575,0.02156764524962164,-0.0702925509109732
72.0,96.4185954104073,3.51535020583993,3.3212196946933195,33.08975604112885,-0.051815641822479566,0.04842658643507082,0.02129887559602446,-0.06913484938480766
74.0,96.31507611292038,3.612067837768064,3.3635511778986835,32.952623091410466,-0.051701113086260485,0.04828888859533878,0.021033107279959502,-0.0680022678089104
76.0,96.21180100181994,3.7084972427544476,3.4053541202864297,32.817730376724086,-0.05157151871352188,0.04813841455535073,0.020770333673802877,-0.06689457598670363
78.0,96.10879982871387,3.8046131987707486,3.4466345046487508,32.68502834775891,-0.05142723836942288,0.047975494687285916,0.020510548149930703,-0.0658115437216096
80.0,96.00610158587972,3.900391144532993,3.4873983005225933,32.554467915597286,-0.05126865171912261,0.0478004593633236,0.020253744080719085,-0.06475294081705055
82.0,95.90373450626474,3.9958071795015644,3.5276514641896517,32.426000451714735,-0.0510961384277802,0.047613638955643044,0.019999914838544137,-0.06371853707644867
84.0,95.80172606348584,4.090838063881206,3.5673999386763784,32.299577787979906,-0.05091007816055477,0.04741536383642351,0.01974905379578197,-0.06270810230322621
86.0,95.70010297182966,4.185461218621019,3.6066496537539727,32.175152216654624,-0.05071085058260545,0.04720596437784425,0.0195011543248087,-0.0617214063008054
88.0,95.59889118625247,4.279654725414463,3.645406525938389,32.05267649039387,-0.050498835359091374,0.04698577095208453,0.01925620979800044,-0.06075821887260846
90.0,95.49811590238023,4.373397326699356,3.6836764584903348,31.932103822245764,-0.05027441215517166,0.04675511393132361,0.019014213587733295,-0.05981830982205763
92.0,95.39780155650861,4.466668425657876,3.721465341415268,31.813387885651593,-0.05003796063600543,0.04651432368774075,0.018775159066383378,-0.05890144895257514
94.0,95.29797182560294,4.559448086216557,3.7587790514633976,31.6964828144458,-0.049789860466751816,0.046263730593515205,0.018539039606326805,-0.0580074060675832
96.0,95.19864962729822,4.651717033046295,3.7956234521296874,31.581343202855987,-0.04953049131256995,0.046003665020826236,0.018305848579939686,-0.05713595097050406
98.0,95.09985711989917,4.74345665156234,3.832004393653853,31.467924105502895,-0.04926023283861895,0.04573445734185311,0.01807557935959813,-0.05628685346475994
100.0,95.00161570238016,4.834648987924304,3.8679277130203618,31.35618103740044,-0.04897946471005794,0.04545643792877507,0.01784822531767826,-0.055459883353773054
102.0,94.90394601438524,4.925276749036157,3.9033992339584316,31.246069973955684,-0.04868856659204607,0.04516993715377139,0.01762377982655617,-0.05465481044096565
104.0,94.80686793622817,5.015323302546225,3.9384247669420347,31.137547350968845,-0.048387918149742436,0.04487528538902134,0.01740223625860799,-0.053871404529759956
106.0,94.71040058889236,5.104772676847197,3.9730101091898966,31.030570064633295,-0.04807789904830618,0.044572813006704154,0.017183587986209822,-0.05310943542357821
108.0,94.61456233403092,5.193609561076117,4.007161044665492,30.925095471535567,-0.04775888895289642,0.0442628503789991,0.01696782838173778,-0.052368672925842616
110.0,94.51937077396666,5.281819305114388,4.0408833440770495,30.821081388655344,-0.0474312675286723,0.04394572787808545,0.01675495081756798,-0.051648886839975414
112.0,94.42484275169201,5.369387919587773,4.074182764877549,30.71848609336547,-0.047095414440792925,0.04362177587614246,0.016544948666076524,-0.05094984696939883
114.0,94.33099435086915,5.4563020758663905,4.107065051264725,30.617268323431944,-0.04675170935441743,0.04329132474534938,0.016337815299639534,-0.0502713231175351
116.0,94.23784089582989,5.5425491060647225,4.139535934181061,30.51738727701391,-0.04640053193470494,0.042954704857885474,0.016133544090633115,-0.04961308508780646
118.0,94.14539695157578,5.628117003041605,4.171601131313795,30.418802612663676,-0.04604226184681459,0.042612246585930005,0.01593212841143338,-0.04897490268363511
120.0,94.05367632377798,5.712994420400235,4.2032663470949165,30.321474449326715,-0.04567727875590551,0.04226428030166224,0.01573356163441645,-0.04835654570844329
122.0,93.96269205877739,5.797170672488165,4.234537272701167,30.225363366341636,-0.045305962327136795,0.04191113637726142,0.015537837131958426,-0.047757783965653264
124.0,93.87245644358457,5.880635734397311,4.2654195860540405,30.130430403440222,-0.0449286922256676,0.04155314518490681,0.015344948276435424,-0.04717838725868721
126.0,93.78298100587975,5.963380241963943,4.2959189518197824,30.03663706074739,-0.04454584811665705,0.04119063709677768,0.015154888440223557,-0.046618125390967394
128.0,93.69427651401286,6.045395491768692,4.3260410214093925,29.943945298781237,-0.04415780966526427,0.04082394248505328,0.014967650995698932,-0.04607676816591602
